Discipline,Effect,Description,Critique,Link,doi,Notes,Citations,N critique
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Currin et al. 2015,https://psycnet.apa.org/record/2015-23404-001,,"n = 722,","19 (GS, August 2023)",722
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Elis and Blanchard 2001,https://www.sciencedirect.com/science/article/pii/S0191886900000519?casa_token=y1t9ckdqgpwAAAAA:50DezROTdiFcKcYerBivPZhviWkkc0ug1J0oM7N7Pad2x4Skyp6SnH0fLGkt2dpC2_P-Cizr8g,,"n = 1,146,","82 (GS, August 2023)","1,146"
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Gómez Jiménez et al. 2020,https://onlinelibrary.wiley.com/doi/full/10.1002/dev.21987?casa_token=3kDQq1_4RgkAAAAA%3AqWGjIuAZZMHSLmsjD5HN-zGsewMEmBIGFwYPxBYMegXyUS_2Oae0yzf1e3fRaEPxsCyS6inUqDD_sw,10.1002/dev.21987?casa_token=3kDQq1_4RgkAAAAA:qWGjIuAZZMHSLmsjD5HN-zGsewMEmBIGFwYPxBYMegXyUS_2Oae0yzf1e3fRaEPxsCyS6inUqDD_sw,"n = 318,","12 (GS, August 2023)",318
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",King et al. 2005,https://link.springer.com/article/10.1007/s10508-005-1006-8,10.1007/s10508-005-1006-8,"n = 705,","140 (GS, August 2023)",705
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Kishida and Rahman 2015,https://link.springer.com/article/10.1007/s10508-014-0474-0,10.1007/s10508-014-0474-0,"n = 1,932,","43 (GS, August 2023)","1,932"
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Schwartz et al. 2010,"https://link.springer.com/article/10.1007/s10508-009-9499-1)n = 1,588, citations = 161 (GS, August 2023)]. [VanderLaan and Vasey 2011](https://link.springer.com/article/10.1007/s10508-009-9576-5","10.1007/s10508-009-9499-1)n = 1,588, citations = 161 (GS, August 2023)]. [VanderLaan and Vasey 2011](https:","n = 341,","127 (GS, August 2023)",341
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Vasey and VanderLaan 2007,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2007.0120?casa_token=V2icT3Utw4AAAAAA%3AkQPOPHuGAxSrdyUsOHhhUA65uthl9X2aB8OQ8rmF6TnJE_WUZSPynpXNrsRR3ysGwcxgB2W11UyeoA,10.1098/rspb.2007.0120?casa_token=V2icT3Utw4AAAAAA:kQPOPHuGAxSrdyUsOHhhUA65uthl9X2aB8OQ8rmF6TnJE_WUZSPynpXNrsRR3ysGwcxgB2W11UyeoA,"n = 197,","98 (GS, August 2023)",197
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Zucker and Blanchard 1994,https://journals.lww.com/jonmd/Citation/1994/09000/Reanalysis_of_Bieber_et_al__s_1962_Data_on_Sibling.9.aspx,,"n = 206,","44 (GS, August 2023)",206
Psychophysiology,Sympathetic nervous system activity predicts political ideology,There are psychophysiological correlates of political ideology – conservatives react with higher levels of electrodermal activity (EDA)/ skin conductance to threatening stimuli than liberals,Osmundsen et al. 2022,https://www.journals.uchicago.edu/doi/abs/10.1086/714780,10.1086/714780,"n=318, meta-analyses: n = 484 across seven studies,","40 (GS, December 2022)",318 & 484
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,Chabris et al. 2012,https://pubmed.ncbi.nlm.nih.gov/23012269/,,"n=samples of 5,571, 1,759, and 2,441 individuals,","347 (GS, April 2022)",
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,Culverhouse et al. 2017,https://www.nature.com/articles/mp201744,,"n = 28,252 (21 studies), meta-analysis, citations = 173 (",,"28,252"
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,Crossref,https://citations.springernature.com/item?doi=10.1038/mp.2017.44,10.1038/mp.2017.44,", June 2022)].",,
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,No good evidence,https://slatestarcodex.com/2019/05/07/5-httlpr-a-pointed-review/,,"that **5-HTTLPR** is strongly linked to depression, insomnia, PTSD, anxiety, and more. S",,
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,Farrell et al. 2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4414705/pdf/nihms653267.pdf,,"n=25 historical candidate genes for schizophrenia,","345 (GS, April 2022)",25
Applied Linguistics,Critical period hypothesis,"Critical period** **hypothesis**. How grammar-learning ability changes with age, finding that it is intact to the crux of adulthood (17.4 years) and then declines steadily",van der Silk et al. 2021,https://onlinelibrary.wiley.com/doi/full/10.1111/lang.12470,10.1111/lang.12470,"n = 547,250,","1 (GS, February 2022)","547,250"
Applied Linguistics,Motivational role of L2 vision,Mental imagery of oneself as a successful language user in the future can enhance one’s motivation and performance,Hiver and Al-Hoorie 2020,https://onlinelibrary.wiley.com/doi/full/10.1111/lang.12371?casa_token=4hWn0YZ4iY0AAAAA%3AMgGv_gnZp3nF2x--g-XUQUbKy5ZtFXDTnihF-_2aiBC4R7oBIyi7w4o8a8Iu5yPNPCjqgWnwyZtzMgI,10.1111/lang.12371?casa_token=4hWn0YZ4iY0AAAAA:MgGv_gnZp3nF2x--g-XUQUbKy5ZtFXDTnihF-_2aiBC4R7oBIyi7w4o8a8Iu5yPNPCjqgWnwyZtzMgI,"n=1297,","36 (GS, Oct 2022)",1297
