Discipline,Effect,Description,Original effect size
Comparative Psychology,Eye narrowing in felines,Felines are more likely to narrow their eyes following a slow blink from humans,"Experiment 1: d = 0.56 Experiment 2:  Half-blinks vs. neutral: d =0.75 [d calculated from mean differences and standard deviation using this [conversion](https://lbecker.uccs.edu/)], eye narrowing vs neutral: d = 0.90 [d calculated from mean differences and standard deviation and converted using this [conversion](https://lbecker.uccs.edu/)]."
Comparative Psychology,Pointing following in felines,"Felines do not follow the pointing of another agent, using the object choice task.  ​","Cats: W = 0.37 [W calculated from Chi square, degrees of freedom and sample size and converted using this [conversion](https://www.datanovia.com/en/lessons/friedman-test-in-r/#effect-size)]."
Comparative Psychology,Mirror self-recognition in magpies,Mirror-self recognition in magpies (Pica pica)**. Magpies have been suggested to be able to recognize themselves in the mirror implying a self-representation akin to chimpanzees​,2 out of 5 animals showed self-recognition during mark test.
Comparative Psychology,Right-bias in hand use in chimpanzees,population handedness asymmetry). Chimpanzees have been proposed to be right-handed on the population level similar to humans,d = 0.69 to 0.97​.
Comparative Psychology,Cache protection in Eurasian jays,Garrulus glandarius_)**. Eurasian jays may opt to cache in out-of-view locations to reduce the likelihood of conspecifics pilfering their caches,not reported. 
Comparative Psychology,Desire-state attribution may govern food sharing in Eurasian jays (_Garrulus glandarius_),Male Eurasian jays may share food with their female partners in-line with the females current desire,not reported. 
Comparative Psychology,Reasoning about hidden causal agents in New Caledonian Crows (_Corvus moneduloides_),Reasoning about hidden causal agents in New Caledonian Crows (Corvus moneduloides)**. New Caledonian Crows “showed greater vigilance towards an area from which they had previously witnessed a threatening “stick attack” if a hidden causal agent (a human) could still be present in that area compared to when a human person had visibly left.”,not reported. 
Comparative Psychology,Owners predict spatial impulsivity in dogs,"spatial discounting, spatial discount, distance discounting). This phenomenon explores whether owner ratings of impulsivity in their dogs correlate with behavioural measures of the distance their dogs travel in a spatial impulsivity task. The original study (Brady et al., 2018) found that owner ratings of adult dog impulsivity (using the Dog Impulsivity Assessment Scale; Wright et al., 2011) matched levels of impulsivity in a spatial impulsivity task (but not for young dogs). Two subsequent studies using similar methods did not replicate this correlation, and an overall meta-analysis did not find evidence for an effect.​","r = −0.46 (Laboratory study 1), r = −0.61 (Simplified field study), r = −0.05 (Laboratory study 2)."
Comparative Psychology,Numerical ratio effects on quantity discrimination in elephants,"Number discrimination, quantity/number judgments). The numerical ratio between quantities has been shown to predict the ability to discriminate quantities across a wide range of species. However, Irie-Sugimoto et al., (2009) found that elephants did not follow this pattern because numerical ratio did not predict performance. Perdue et al. (2012) replicated the study in elephants with a similar design and found that ratio predicted performance, reversing the findings of the original study.​","individual correlations for each subject: r = 0.23, r = 0.01, r = 0.02."
Comparative Psychology,Contagious yawning in dogs,"Dogs have been shown to yawn more after observing a person yawn than after a control condition with other mouth movements. The original study (Joly-Mascheroni et al., 2008) found 72% of dogs yawned after watching a human yawn but none yawned after watching other mouth movements. Two subsequent studies did not replicate a difference in yawning between conditions (Harr et al., 2009; O’Hara and Reeve, 2010), but a third did find a difference (Madsen and Persson, 2012","d = 1.02 [0.567, 1.47]."
Comparative Psychology,Temporal preferences in chimpanzees and bonobos,"temporal/time discounting, intertemporal choice, delay choice). Chimpanzees (_Pan troglodytes_) wait longer than bonobos (_Pan paniscus_) in intertemporal choice tasks providing choices between smaller, sooner and larger, later food rewards. Rosati et al. (2007) found chimpanzees waited longer than bonobos at the Leipzig Zoo. Rosati and Hare (2013) confirmed this finding in a group of chimpanzees and bonobos at Tchimpounga Chimpanzee Sanctuary in Republic of Congo","d = 1.89 [0.19, 3.51] (calculated)."
Comparative Psychology,Risk preferences in chimpanzees and bonobos,risky choice). Chimpanzees (_Pan troglodytes_) choose risky options more than bonobos (_Pan paniscus_) in risky choice tasks providing choices between guaranteed and risky food rewards. Heilbronner et al. (2008) found chimpanzees preferred risky options more than bonobos at the Leipzig Zoo. Rosati and Hare (2013) confirmed this finding in a group of chimpanzees and bonobos at Tchimpounga Chimpanzee Sanctuary in Republic of Congo,"d = 4.80 [2.08, 7.46] (calculated)."
Evolutionary Linguistics,Typological Prevalence Hypothesis: Learnability of semantics (evidentiality),"Typological Prevalence Hypothesis.** The typological prevalence hypothesis is a proposal that suggests that certain structural features are more common across languages than others due to factors such as ease of learning, processing, and use. These more prevalent structural features are thought to be more likely to be retained in a language over time. Claims that  cross-linguistically more prevalent distinctions are easier to learn, or the more common a certain distinction or way of categorising across languages, the more cognitively natural (and easily learnable) for humans it should be. This effect is explored for the grammatical structure of evidentiality, or grammatical marking of information source in an utterance",NA.
Speech Language Therapy,Stuttering and bilingualism,Bilingual children had an increased risk of stuttering and a lower chance of recovery from stuttering than language exclusive and monolingual speakers,Cramer’s V = 0.34.  
Speech Language Therapy,Stuttering and self-esteem,"Children who stutter have higher self-esteem than children who do not stutter. However, the self-esteem of children who stutter declines once they reach adolescence","M(SD)stuttering boys = 56.5 (25.9), M(SD)boys normgroup: 36.5(25.9); M(SD)stuttering girls = 43.1(35.8), M(SD)girls normgroup=27.7(25.7)."
